XCOORD,YCOORD
1.45764,0.00000
1.46196,0.02000
1.46636,0.04000
1.47073,0.06000
1.47473,0.08000
1.47907,0.10000
1.48304,0.12000
1.48696,0.14000
1.49073,0.16000
1.49473,0.18000
1.49836,0.20000
1.50200,0.22000
1.50564,0.24000
1.50927,0.26000
1.51278,0.28000
1.51611,0.30000
1.51944,0.32000
1.52273,0.34000
1.52574,0.36000
1.52891,0.38000
1.53204,0.40000
1.53500,0.42000
1.53792,0.44000
1.54056,0.46000
1.54345,0.48000
1.54611,0.50000
1.54849,0.52000
1.55113,0.54000
1.55340,0.56000
1.55596,0.58000
1.55827,0.60000
1.56019,0.62000
1.56245,0.64000
1.56442,0.66000
1.56635,0.68000
1.56827,0.70000
1.57000,0.72000
1.57173,0.74000
1.57327,0.76000
1.57471,0.78000
1.57627,0.80000
1.57780,0.82000
1.57900,0.84000
1.58020,0.86000
1.58137,0.88000
1.58220,0.90000
1.58300,0.92000
1.58388,0.94000
1.58469,0.96000
1.58510,0.98000
1.58592,1.00000
1.58633,1.02000
1.58646,1.04000
1.58687,1.06000
1.58687,1.08000
1.58687,1.10000
1.58660,1.12000
1.58660,1.14000
1.58617,1.16000
1.58587,1.18000
1.58500,1.20000
1.58457,1.22000
1.58370,1.24000
1.58289,1.26000
1.58159,1.28000
1.58067,1.30000
1.57930,1.32000
1.57791,1.34000
1.57605,1.36000
1.57452,1.38000
1.57262,1.40000
1.57071,1.42000
1.56833,1.44000
1.56595,1.46000
1.56357,1.48000
1.56073,1.50000
1.55825,1.52000
1.55513,1.54000
1.55175,1.56000
1.54846,1.58000
1.54487,1.60000
1.54128,1.62000
1.53711,1.64000
1.53289,1.66000
1.52868,1.68000
1.52405,1.70000
1.51917,1.72000
1.51417,1.74000
1.50886,1.76000
1.50314,1.78000
1.49735,1.80000
1.49147,1.82000
1.48500,1.84000
1.47848,1.86000
1.47121,1.88000
1.46406,1.90000
1.45645,1.92000
1.44844,1.94000
1.44032,1.96000
1.43167,1.98000
1.42233,2.00000
1.41276,2.02000
1.40250,2.04000
1.39250,2.06000
1.38111,2.08000
1.37000,2.10000
1.35808,2.12000
1.34520,2.14000
1.33240,2.16000
1.31875,2.18000
1.30375,2.20000
1.28826,2.22000
1.27227,2.24000
1.25571,2.26000
1.23762,2.28000
1.21850,2.30000
1.20000,2.31850
1.19842,2.32000
1.18000,2.33750
1.17737,2.34000
1.16000,2.35571
1.15471,2.36000
1.14000,2.37190
1.13000,2.38000
1.12000,2.38773
1.10412,2.40000
1.10000,2.40318
1.08000,2.41696
1.07562,2.42000
1.06000,2.43087
1.04500,2.44000
1.04000,2.44304
1.02000,2.45522
1.01154,2.46000
1.00000,2.46652
0.97583,2.48000
0.96000,2.48792
0.93364,2.50000
0.92000,2.50625
0.90000,2.51480
0.88700,2.52000
0.86000,2.53000
0.83125,2.54000
0.82000,2.54346
0.80000,2.54962
0.78000,2.55500
0.76143,2.56000
0.74000,2.56500
0.72000,2.56962
0.70000,2.57346
0.68000,2.57731
0.66250,2.58000
0.64000,2.58333
0.62000,2.58556
0.60000,2.58731
0.58000,2.58926
0.56000,2.59038
0.54000,2.59148
0.52000,2.59192
0.50000,2.59222
0.48000,2.59192
0.46000,2.59148
0.44000,2.59038
0.42000,2.58926
0.40000,2.58731
0.38000,2.58556
0.36000,2.58333
0.33750,2.58000
0.32000,2.57731
0.30000,2.57346
0.28000,2.56962
0.26000,2.56500
0.23857,2.56000
0.22000,2.55500
0.20000,2.54962
0.18000,2.54346
0.16875,2.54000
0.14000,2.53000
0.11300,2.52000
0.10000,2.51480
0.08000,2.50625
0.06636,2.50000
0.04000,2.48792
0.02417,2.48000
0.00000,2.46652
0.02000,2.47783
