XCOORD,YCOORD
2.87467,0.00000
2.88095,0.02000
2.88713,0.04000
2.89331,0.06000
2.89963,0.08000
2.90581,0.10000
2.91199,0.12000
2.91828,0.14000
2.92452,0.16000
2.93067,0.18000
2.93694,0.20000
2.94321,0.22000
2.94940,0.24000
2.95571,0.26000
2.96188,0.28000
2.96820,0.30000
2.97447,0.32000
2.98068,0.34000
2.98705,0.36000
2.99326,0.38000
2.99962,0.40000
3.00588,0.42000
3.01214,0.44000
3.01853,0.46000
3.02485,0.48000
3.03109,0.50000
3.03744,0.52000
3.04380,0.54000
3.05016,0.56000
3.05648,0.58000
3.06289,0.60000
3.06921,0.62000
3.07567,0.64000
3.08197,0.66000
3.08843,0.68000
3.09484,0.70000
3.10134,0.72000
3.10770,0.74000
3.11416,0.76000
3.12071,0.78000
3.12712,0.80000
3.13363,0.82000
3.14008,0.84000
3.14659,0.86000
3.15309,0.88000
3.15975,0.90000
3.16626,0.92000
3.17287,0.94000
3.17942,0.96000
3.18603,0.98000
3.19264,1.00000
3.19925,1.02000
3.20592,1.04000
3.21258,1.06000
3.21941,1.08000
3.22602,1.10000
3.23280,1.12000
3.23957,1.14000
3.24624,1.16000
3.25308,1.18000
3.25991,1.20000
3.26675,1.22000
3.27365,1.24000
3.28043,1.26000
3.28739,1.28000
3.29430,1.30000
3.30130,1.32000
3.30823,1.34000
3.31531,1.36000
3.32237,1.38000
3.32938,1.40000
3.33649,1.42000
3.34351,1.44000
3.35072,1.46000
3.35791,1.48000
3.36514,1.50000
3.37239,1.52000
3.37954,1.54000
3.38688,1.56000
3.39417,1.58000
3.40157,1.60000
3.40907,1.62000
3.41651,1.64000
3.42402,1.66000
3.43142,1.68000
3.43914,1.70000
3.44657,1.72000
3.45433,1.74000
3.46202,1.76000
3.46971,1.78000
3.47755,1.80000
3.48534,1.82000
3.49317,1.84000
3.50108,1.86000
3.50901,1.88000
3.51710,1.90000
3.52510,1.92000
3.53323,1.94000
3.54131,1.96000
3.54960,1.98000
3.55786,2.00000
3.56622,2.02000
3.57454,2.04000
3.58302,2.06000
3.59156,2.08000
3.60011,2.10000
3.60874,2.12000
3.61755,2.14000
3.62628,2.16000
3.63516,2.18000
3.64419,2.20000
3.65315,2.22000
3.66228,2.24000
3.67132,2.26000
3.68056,2.28000
3.68989,2.30000
3.69944,2.32000
3.70888,2.34000
3.71852,2.36000
3.72807,2.38000
3.73782,2.40000
3.74779,2.42000
3.75779,2.44000
3.76788,2.46000
3.77800,2.48000
3.78835,2.50000
3.79869,2.52000
3.80928,2.54000
3.81988,2.56000
3.83074,2.58000
3.84160,2.60000
3.85272,2.62000
3.86387,2.64000
3.87512,2.66000
3.88671,2.68000
3.89833,2.70000
3.91000,2.72000
3.92195,2.74000
3.93408,2.76000
3.94618,2.78000
3.95880,2.80000
3.97133,2.82000
3.98419,2.84000
3.99712,2.86000
4.00000,2.86437
