XCOORD,YCOORD
1.20725,0.00000
1.21195,0.02000
1.21634,0.04000
1.22119,0.06000
1.22512,0.08000
1.22951,0.10000
1.23341,0.12000
1.23775,0.14000
1.24167,0.16000
1.24512,0.18000
1.24881,0.20000
1.25244,0.22000
1.25585,0.24000
1.25927,0.26000
1.26262,0.28000
1.26561,0.30000
1.26854,0.32000
1.27146,0.34000
1.27439,0.36000
1.27683,0.38000
1.27975,0.40000
1.28214,0.42000
1.28415,0.44000
1.28659,0.46000
1.28875,0.48000
1.29075,0.50000
1.29275,0.52000
1.29439,0.54000
1.29625,0.56000
1.29775,0.58000
1.29925,0.60000
1.30075,0.62000
1.30175,0.64000
1.30282,0.66000
1.30385,0.68000
1.30487,0.70000
1.30538,0.72000
1.30641,0.74000
1.30658,0.76000
1.30692,0.78000
1.30711,0.80000
1.30744,0.82000
1.30711,0.84000
1.30711,0.86000
1.30676,0.88000
1.30658,0.90000
1.30568,0.92000
1.30514,0.94000
1.30417,0.96000
1.30306,0.98000
1.30194,1.00000
1.30083,1.02000
1.29914,1.04000
1.29743,1.06000
1.29571,1.08000
1.29343,1.10000
1.29147,1.12000
1.28912,1.14000
1.28636,1.16000
1.28382,1.18000
1.28088,1.20000
1.27781,1.22000
1.27406,1.24000
1.27031,1.26000
1.26656,1.28000
1.26281,1.30000
1.25839,1.32000
1.25367,1.34000
1.24900,1.36000
1.24379,1.38000
1.23897,1.40000
1.23276,1.42000
1.22724,1.44000
1.22103,1.46000
1.21444,1.48000
1.20750,1.50000
1.20037,1.52000
1.19269,1.54000
1.18423,1.56000
1.17640,1.58000
1.16760,1.60000
1.15792,1.62000
1.14792,1.64000
1.13783,1.66000
1.12739,1.68000
1.11591,1.70000
1.10333,1.72000
1.09095,1.74000
1.07750,1.76000
1.06350,1.78000
1.04789,1.80000
1.03211,1.82000
1.01500,1.84000
0.99687,1.86000
0.98000,1.87687
0.97687,1.88000
0.96000,1.89687
0.95667,1.90000
0.94000,1.91471
0.93357,1.92000
0.92000,1.93118
0.90846,1.94000
0.90000,1.94647
0.88231,1.96000
0.86000,1.97500
0.85182,1.98000
0.84000,1.98722
0.81700,2.00000
0.80000,2.00895
0.77667,2.02000
0.76000,2.02789
0.74000,2.03632
0.73000,2.04000
0.72000,2.04350
0.70000,2.05050
0.68000,2.05650
0.66600,2.06000
0.64000,2.06650
0.62000,2.07050
0.60000,2.07350
0.58000,2.07650
0.54500,2.08000
0.52000,2.08143
0.50000,2.08150
0.48000,2.08143
0.45500,2.08000
0.42000,2.07650
0.40000,2.07350
0.38000,2.07050
0.36000,2.06650
0.33400,2.06000
0.32000,2.05650
0.30000,2.05050
0.28000,2.04350
0.27000,2.04000
0.26000,2.03632
0.24000,2.02789
0.22333,2.02000
0.20000,2.00895
0.18300,2.00000
0.16000,1.98722
0.14818,1.98000
0.14000,1.97500
0.11769,1.96000
0.10000,1.94647
0.09154,1.94000
0.08000,1.93118
0.06643,1.92000
0.06000,1.91471
0.04333,1.90000
0.04000,1.89687
0.02313,1.88000
0.02000,1.87687
0.00313,1.86000
0.00000,1.85687
