XCOORD,YCOORD
2.86007,0.00000
2.86625,0.02000
2.87237,0.04000
2.87859,0.06000
2.88481,0.08000
2.89097,0.10000
2.89724,0.12000
2.90336,0.14000
2.90963,0.16000
2.91575,0.18000
2.92201,0.20000
2.92820,0.22000
2.93436,0.24000
2.94068,0.26000
2.94684,0.28000
2.95311,0.30000
2.95931,0.32000
2.96553,0.34000
2.97183,0.36000
2.97808,0.38000
2.98423,0.40000
2.99054,0.42000
2.99682,0.44000
3.00302,0.46000
3.00938,0.48000
3.01558,0.50000
3.02194,0.52000
3.02820,0.54000
3.03457,0.56000
3.04086,0.58000
3.04717,0.60000
3.05346,0.62000
3.05992,0.64000
3.06622,0.66000
3.07262,0.68000
3.07896,0.70000
3.08536,0.72000
3.09176,0.74000
3.09815,0.76000
3.10460,0.78000
3.11098,0.80000
3.11748,0.82000
3.12382,0.84000
3.13033,0.86000
3.13680,0.88000
3.14336,0.90000
3.14983,0.92000
3.15642,0.94000
3.16289,0.96000
3.16942,0.98000
3.17605,1.00000
3.18258,1.02000
3.18916,1.04000
3.19585,1.06000
3.20246,1.08000
3.20907,1.10000
3.21581,1.12000
3.22248,1.14000
3.22915,1.16000
3.23595,1.18000
3.24267,1.20000
3.24948,1.22000
3.25626,1.24000
3.26304,1.26000
3.26991,1.28000
3.27675,1.30000
3.28363,1.32000
3.29053,1.34000
3.29759,1.36000
3.30455,1.38000
3.31152,1.40000
3.31847,1.42000
3.32550,1.44000
3.33264,1.46000
3.33972,1.48000
3.34688,1.50000
3.35404,1.52000
3.36119,1.54000
3.36843,1.56000
3.37565,1.58000
3.38306,1.60000
3.39028,1.62000
3.39764,1.64000
3.40505,1.66000
3.41248,1.68000
3.42010,1.70000
3.42752,1.72000
3.43505,1.74000
3.44262,1.76000
3.45029,1.78000
3.45794,1.80000
3.46564,1.82000
3.47343,1.84000
3.48129,1.86000
3.48910,1.88000
3.49707,1.90000
3.50495,1.92000
3.51303,1.94000
3.52111,1.96000
3.52918,1.98000
3.53742,2.00000
3.54567,2.02000
3.55385,2.04000
3.56219,2.06000
3.57063,2.08000
3.57905,2.10000
3.58755,2.12000
3.59624,2.14000
3.60484,2.16000
3.61359,2.18000
3.62250,2.20000
3.63132,2.22000
3.64033,2.24000
3.64922,2.26000
3.65833,2.28000
3.66753,2.30000
3.67693,2.32000
3.68625,2.34000
3.69575,2.36000
3.70517,2.38000
3.71483,2.40000
3.72453,2.42000
3.73447,2.44000
3.74435,2.46000
3.75440,2.48000
3.76446,2.50000
3.77482,2.52000
3.78518,2.54000
3.79568,2.56000
3.80622,2.58000
3.81691,2.60000
3.82788,2.62000
3.83886,2.64000
3.85000,2.66000
3.86115,2.68000
3.87260,2.70000
3.88423,2.72000
3.89592,2.74000
3.90776,2.76000
3.91987,2.78000
3.93203,2.80000
3.94446,2.82000
3.95689,2.84000
3.96973,2.86000
3.98264,2.88000
3.99592,2.90000
3.98000,2.87596
4.00000,2.90617
