XCOORD,YCOORD
2.64415,0.00000
2.65000,0.02000
2.65582,0.04000
2.66154,0.06000
2.66740,0.08000
2.67309,0.10000
2.67893,0.12000
2.68467,0.14000
2.69041,0.16000
2.69615,0.18000
2.70190,0.20000
2.70769,0.22000
2.71342,0.24000
2.71925,0.26000
2.72492,0.28000
2.73067,0.30000
2.73639,0.32000
2.74210,0.34000
2.74782,0.36000
2.75364,0.38000
2.75941,0.40000
2.76500,0.42000
2.77076,0.44000
2.77650,0.46000
2.78229,0.48000
2.78795,0.50000
2.79371,0.52000
2.79940,0.54000
2.80509,0.56000
2.81078,0.58000
2.81661,0.60000
2.82233,0.62000
2.82791,0.64000
2.83365,0.66000
2.83939,0.68000
2.84518,0.70000
2.85088,0.72000
2.85655,0.74000
2.86237,0.76000
2.86805,0.78000
2.87384,0.80000
2.87955,0.82000
2.88527,0.84000
2.89098,0.86000
2.89667,0.88000
2.90243,0.90000
2.90820,0.92000
2.91391,0.94000
2.91972,0.96000
2.92555,0.98000
2.93128,1.00000
2.93713,1.02000
2.94284,1.04000
2.94861,1.06000
2.95435,1.08000
2.96028,1.10000
2.96607,1.12000
2.97179,1.14000
2.97764,1.16000
2.98349,1.18000
2.98924,1.20000
2.99514,1.22000
3.00105,1.24000
3.00683,1.26000
3.01272,1.28000
3.01854,1.30000
3.02456,1.32000
3.03039,1.34000
3.03634,1.36000
3.04225,1.38000
3.04822,1.40000
3.05410,1.42000
3.06010,1.44000
3.06610,1.46000
3.07202,1.48000
3.07808,1.50000
3.08414,1.52000
3.09010,1.54000
3.09619,1.56000
3.10216,1.58000
3.10835,1.60000
3.11433,1.62000
3.12052,1.64000
3.12656,1.66000
3.13274,1.68000
3.13884,1.70000
3.14516,1.72000
3.15129,1.74000
3.15753,1.76000
3.16376,1.78000
3.17011,1.80000
3.17637,1.82000
3.18272,1.84000
3.18900,1.86000
3.19544,1.88000
3.20187,1.90000
3.20820,1.92000
3.21466,1.94000
3.22102,1.96000
3.22761,1.98000
3.23414,2.00000
3.24080,2.02000
3.24733,2.04000
3.25384,2.06000
3.26058,2.08000
3.26718,2.10000
3.27400,2.12000
3.28083,2.14000
3.28759,2.16000
3.29434,2.18000
3.30133,2.20000
3.30817,2.22000
3.31519,2.24000
3.32210,2.26000
3.32926,2.28000
3.33637,2.30000
3.34342,2.32000
3.35076,2.34000
3.35808,2.36000
3.36526,2.38000
3.37260,2.40000
3.38013,2.42000
3.38750,2.44000
3.39507,2.46000
3.40253,2.48000
3.41027,2.50000
3.41797,2.52000
3.42581,2.54000
3.43356,2.56000
3.44151,2.58000
3.44944,2.60000
3.45761,2.62000
3.46577,2.64000
3.47386,2.66000
3.48217,2.68000
3.49058,2.70000
3.49926,2.72000
3.50779,2.74000
3.51627,2.76000
3.52522,2.78000
3.53409,2.80000
3.54292,2.82000
3.55215,2.84000
3.56138,2.86000
3.57063,2.88000
3.58016,2.90000
3.58968,2.92000
3.59951,2.94000
3.60919,2.96000
3.61918,2.98000
3.62917,3.00000
3.63950,3.02000
3.65000,3.04000
3.66052,3.06000
3.67140,3.08000
3.68228,3.10000
3.69351,3.12000
3.70482,3.14000
3.71655,3.16000
3.72818,3.18000
3.74019,3.20000
3.75241,3.22000
3.76509,3.24000
3.77750,3.26000
3.79058,3.28000
3.80380,3.30000
3.81740,3.32000
3.83122,3.34000
3.84551,3.36000
3.86020,3.38000
3.87479,3.40000
3.89000,3.42000
3.90587,3.44000
3.92196,3.46000
3.93844,3.48000
3.95523,3.50000
3.97279,3.52000
3.99047,3.54000
3.98000,3.52816
4.00000,3.55025
