XCOORD,YCOORD
2.97490,0.00000
2.98133,0.02000
2.98768,0.04000
2.99415,0.06000
3.00063,0.08000
3.00697,0.10000
3.01340,0.12000
3.01979,0.14000
3.02631,0.16000
3.03273,0.18000
3.03921,0.20000
3.04564,0.22000
3.05216,0.24000
3.05862,0.26000
3.06511,0.28000
3.07152,0.30000
3.07804,0.32000
3.08457,0.34000
3.09102,0.36000
3.09759,0.38000
3.10416,0.40000
3.11066,0.42000
3.11726,0.44000
3.12375,0.46000
3.13037,0.48000
3.13696,0.50000
3.14348,0.52000
3.15015,0.54000
3.15679,0.56000
3.16336,0.58000
3.17000,0.60000
3.17674,0.62000
3.18338,0.64000
3.19008,0.66000
3.19674,0.68000
3.20356,0.70000
3.21023,0.72000
3.21700,0.74000
3.22374,0.76000
3.23054,0.78000
3.23729,0.80000
3.24411,0.82000
3.25093,0.84000
3.25789,0.86000
3.26473,0.88000
3.27157,0.90000
3.27850,0.92000
3.28543,0.94000
3.29236,0.96000
3.29929,0.98000
3.30627,1.00000
3.31336,1.02000
3.32040,1.04000
3.32744,1.06000
3.33444,1.08000
3.34153,1.10000
3.34870,1.12000
3.35585,1.14000
3.36303,1.16000
3.37025,1.18000
3.37746,1.20000
3.38471,1.22000
3.39198,1.24000
3.39942,1.26000
3.40675,1.28000
3.41403,1.30000
3.42143,1.32000
3.42890,1.34000
3.43636,1.36000
3.44385,1.38000
3.45137,1.40000
3.45905,1.42000
3.46664,1.44000
3.47422,1.46000
3.48198,1.48000
3.48965,1.50000
3.49746,1.52000
3.50518,1.54000
3.51301,1.56000
3.52096,1.58000
3.52884,1.60000
3.53685,1.62000
3.54477,1.64000
3.55288,1.66000
3.56099,1.68000
3.56900,1.70000
3.57734,1.72000
3.58555,1.74000
3.59380,1.76000
3.60213,1.78000
3.61056,1.80000
3.61897,1.82000
3.62745,1.84000
3.63613,1.86000
3.64467,1.88000
3.65343,1.90000
3.66219,1.92000
3.67087,1.94000
3.67990,1.96000
3.68873,1.98000
3.69775,2.00000
3.70676,2.02000
3.71594,2.04000
3.72525,2.06000
3.73450,2.08000
3.74390,2.10000
3.75323,2.12000
3.76276,2.14000
3.77235,2.16000
3.78214,2.18000
3.79186,2.20000
3.80175,2.22000
3.81177,2.24000
3.82177,2.26000
3.83189,2.28000
3.84221,2.30000
3.85245,2.32000
3.86290,2.34000
3.87344,2.36000
3.88424,2.38000
3.89489,2.40000
3.90582,2.42000
3.91678,2.44000
3.92798,2.46000
3.93921,2.48000
3.95057,2.50000
3.96216,2.52000
3.97391,2.54000
3.98563,2.56000
3.99756,2.58000
4.00000,2.58404
