XCOORD,YCOORD
2.62789,0.00000
2.63369,0.02000
2.63943,0.04000
2.64516,0.06000
2.65099,0.08000
2.65678,0.10000
2.66240,0.12000
2.66818,0.14000
2.67392,0.16000
2.67975,0.18000
2.68537,0.20000
2.69108,0.22000
2.69675,0.24000
2.70258,0.26000
2.70825,0.28000
2.71387,0.30000
2.71958,0.32000
2.72529,0.34000
2.73101,0.36000
2.73669,0.38000
2.74246,0.40000
2.74805,0.42000
2.75376,0.44000
2.75940,0.46000
2.76509,0.48000
2.77078,0.50000
2.77647,0.52000
2.78216,0.54000
2.78784,0.56000
2.79348,0.58000
2.79921,0.60000
2.80482,0.62000
2.81052,0.64000
2.81619,0.66000
2.82184,0.68000
2.82752,0.70000
2.83319,0.72000
2.83884,0.74000
2.84455,0.76000
2.85027,0.78000
2.85595,0.80000
2.86153,0.82000
2.86730,0.84000
2.87300,0.86000
2.87864,0.88000
2.88427,0.90000
2.89000,0.92000
2.89569,0.94000
2.90138,0.96000
2.90713,0.98000
2.91287,1.00000
2.91860,1.02000
2.92421,1.04000
2.93000,1.06000
2.93575,1.08000
2.94142,1.10000
2.94726,1.12000
2.95292,1.14000
2.95875,1.16000
2.96448,1.18000
2.97019,1.20000
2.97602,1.22000
2.98183,1.24000
2.98748,1.26000
2.99330,1.28000
2.99912,1.30000
3.00500,1.32000
3.01079,1.34000
3.01653,1.36000
3.02248,1.38000
3.02830,1.40000
3.03410,1.42000
3.04010,1.44000
3.04596,1.46000
3.05182,1.48000
3.05784,1.50000
3.06378,1.52000
3.06959,1.54000
3.07557,1.56000
3.08155,1.58000
3.08760,1.60000
3.09358,1.62000
3.09947,1.64000
3.10558,1.66000
3.11160,1.68000
3.11774,1.70000
3.12376,1.72000
3.12978,1.74000
3.13598,1.76000
3.14207,1.78000
3.14824,1.80000
3.15440,1.82000
3.16077,1.84000
3.16692,1.86000
3.17315,1.88000
3.17944,1.90000
3.18573,1.92000
3.19202,1.94000
3.19851,1.96000
3.20471,1.98000
3.21115,2.00000
3.21756,2.02000
3.22407,2.04000
3.23058,2.06000
3.23706,2.08000
3.24365,2.10000
3.25024,2.12000
3.25699,2.14000
3.26349,2.16000
3.27024,2.18000
3.27695,2.20000
3.28378,2.22000
3.29049,2.24000
3.29738,2.26000
3.30438,2.28000
3.31127,2.30000
3.31810,2.32000
3.32526,2.34000
3.33234,2.36000
3.33935,2.38000
3.34662,2.40000
3.35382,2.42000
3.36118,2.44000
3.36840,2.46000
3.37581,2.48000
3.38338,2.50000
3.39082,2.52000
3.39847,2.54000
3.40597,2.56000
3.41366,2.58000
3.42153,2.60000
3.42929,2.62000
3.43729,2.64000
3.44529,2.66000
3.45319,2.68000
3.46159,2.70000
3.46970,2.72000
3.47806,2.74000
3.48642,2.76000
3.49500,2.78000
3.50354,2.80000
3.51234,2.82000
3.52109,2.84000
3.53000,2.86000
3.53919,2.88000
3.54823,2.90000
3.55754,2.92000
3.56694,2.94000
3.57650,2.96000
3.58617,2.98000
3.59583,3.00000
3.60593,3.02000
3.61603,3.04000
3.62614,3.06000
3.63667,3.08000
3.64719,3.10000
3.65800,3.12000
3.66891,3.14000
3.68018,3.16000
3.69130,3.18000
3.70283,3.20000
3.71481,3.22000
3.72673,3.24000
3.73902,3.26000
3.75157,3.28000
3.76420,3.30000
3.77735,3.32000
3.79062,3.34000
3.80437,3.36000
3.81813,3.38000
3.83255,3.40000
3.84717,3.42000
3.86239,3.44000
3.87756,3.46000
3.89341,3.48000
3.90977,3.50000
3.92628,3.52000
3.94357,3.54000
3.96167,3.56000
3.97976,3.58000
3.99875,3.60000
3.98000,3.58026
4.00000,3.60132
